iter	Passed	Remaining
515	592	556
516	595	556
517	596	555
518	597	554
519	598	552
520	600	551
521	602	551
522	603	550
523	604	549
524	606	549
525	607	547
526	608	546
527	609	545
528	611	544
529	612	543
530	613	541
531	614	540
532	615	539
533	617	538
534	618	537
535	620	537
536	622	536
537	623	535
538	624	533
539	625	532
540	626	531
541	627	530
542	628	528
543	629	527
544	631	527
545	633	526
546	635	526
547	636	525
548	637	523
549	638	522
550	639	521
551	640	520
552	641	518
553	642	517
554	643	516
555	645	515
556	647	514
557	648	513
558	651	513
559	652	512
560	653	511
561	655	510
562	656	509
563	657	508
564	659	507
565	660	506
566	662	505
567	663	504
568	665	504
569	666	502
570	667	501
571	668	500
572	669	498
573	670	497
574	671	496
575	672	494
576	673	493
577	674	492
578	676	491
579	678	491
580	679	489
581	680	488
582	681	487
583	682	485
584	683	484
585	683	483
586	684	481
587	685	480
588	686	479
589	687	477
590	688	476
591	690	476
592	692	475
593	693	473
594	694	472
595	695	471
596	696	469
597	697	468
598	698	467
599	698	465
600	699	464
601	700	463
602	701	462
603	702	460
604	703	459
605	706	459
606	707	458
607	708	456
608	709	455
609	710	454
610	711	452
611	711	451
612	712	450
613	713	448
614	714	447
615	715	446
616	716	444
617	717	443
618	718	442
619	720	441
620	722	440
621	722	439
622	723	438
623	724	436
624	725	435
625	726	434
626	727	432
627	728	431
628	729	430
629	730	429
630	731	427
631	732	426
632	733	425
633	735	424
634	736	423
635	737	421
636	738	420
637	739	419
638	740	418
639	741	416
640	741	415
641	742	414
642	743	412
643	744	411
644	745	410
645	746	409
646	747	408
647	749	407
648	750	406
649	752	404
650	753	403
651	754	402
652	755	401
653	756	400
654	757	398
655	758	397
656	758	396
657	759	394
658	760	393
659	761	392
660	762	391
661	764	390
662	765	389
663	766	387
664	767	386
665	768	385
666	769	384
667	770	382
668	771	381
669	772	380
670	772	378
671	773	377
672	774	376
673	775	375
674	776	373
675	778	373
676	779	372
677	781	370
678	782	369
679	782	368
680	783	367
681	784	365
682	785	364
683	786	363
684	787	362
685	788	360
686	789	359
687	790	358
688	791	357
689	792	356
690	793	355
691	795	353
692	796	352
693	797	351
694	798	350
695	799	349
696	799	347
697	800	346
698	801	345
699	802	344
700	803	342
701	804	341
702	805	340
703	806	339
704	807	338
705	809	337
706	810	335
707	811	334
708	812	333
709	813	332
710	814	330
711	814	329
712	815	328
713	816	327
714	817	325
715	818	324
716	819	323
717	820	322
718	821	321
719	823	320
720	824	319
721	825	317
722	826	316
723	827	315
724	828	314
725	829	312
726	830	311
727	831	310
728	832	309
729	833	308
730	834	307
731	835	305
732	836	304
733	838	303
734	839	302
735	840	301
736	841	300
737	842	299
738	843	297
739	844	296
740	845	295
741	846	294
742	847	293
743	848	291
744	849	290
745	850	289
746	851	288
747	853	287
748	854	286
749	855	285
750	856	284
751	857	282
752	858	281
753	859	280
754	860	279
755	861	278
756	862	276
757	863	275
758	864	274
759	866	273
760	868	272
761	870	271
762	871	270
763	872	269
764	873	268
765	874	267
766	875	266
767	876	264
768	877	263
769	878	262
770	879	261
771	880	260
772	881	258
773	883	257
774	884	256
775	886	255
776	887	254
777	888	253
778	889	252
779	890	251
780	891	250
781	892	248
782	893	247
783	894	246
784	895	245
785	896	244
786	898	243
787	900	242
788	901	241
789	902	239
790	903	238
791	904	237
792	905	236
793	906	235
794	907	233
795	907	232
796	908	231
797	909	230
798	910	229
799	912	228
800	913	227
801	915	226
802	916	224
803	917	223
804	918	222
805	919	221
806	920	220
807	921	218
808	922	217
809	922	216
810	923	215
811	924	214
812	925	212
813	928	212
814	929	210
815	930	209
816	931	208
817	932	207
818	932	206
819	934	205
820	934	203
821	935	202
822	936	201
823	937	200
824	938	199
825	939	197
826	940	196
827	943	195
828	944	194
829	945	193
830	946	192
831	947	191
832	948	190
833	949	189
834	950	187
835	951	186
836	952	185
837	953	184
838	954	183
839	956	182
840	957	181
841	958	179
842	959	178
843	960	177
844	961	176
845	962	175
846	963	174
847	964	172
848	965	171
849	966	170
850	967	169
851	968	168
852	969	167
853	970	165
854	972	164
855	973	163
856	974	162
857	974	161
858	975	160
859	977	159
860	978	157
861	979	156
862	980	155
863	980	154
864	981	153
865	982	152
866	983	150
867	984	149
868	985	148
869	987	147
870	987	146
871	988	145
872	989	143
873	990	142
874	991	141
875	992	140
876	993	139
877	994	138
878	995	137
879	996	135
880	997	134
881	998	133
882	999	132
883	1000	131
884	1001	130
885	1002	129
886	1003	127
887	1004	126
888	1005	125
889	1006	124
890	1007	123
891	1008	122
892	1009	120
893	1010	119
894	1011	118
895	1012	117
896	1013	116
897	1014	115
898	1015	114
899	1017	113
900	1018	111
901	1020	110
902	1021	109
903	1022	108
904	1024	107
905	1025	106
906	1026	105
907	1027	104
908	1028	102
909	1029	101
910	1031	100
911	1032	99
912	1033	98
913	1034	97
914	1035	96
915	1036	95
916	1037	93
917	1038	92
918	1038	91
919	1039	90
920	1040	89
921	1041	88
922	1042	86
923	1043	85
924	1044	84
925	1046	83
926	1047	82
927	1048	81
928	1049	80
929	1050	79
930	1051	77
931	1052	76
932	1053	75
933	1054	74
934	1055	73
935	1056	72
936	1057	71
937	1058	69
938	1059	68
939	1060	67
940	1061	66
941	1062	65
942	1063	64
943	1064	63
944	1065	62
945	1066	60
946	1067	59
947	1068	58
948	1069	57
949	1070	56
950	1071	55
951	1072	54
952	1073	52
953	1074	51
954	1075	50
955	1076	49
956	1077	48
957	1078	47
958	1079	46
959	1080	45
960	1081	43
961	1082	42
962	1083	41
963	1084	40
964	1085	39
965	1086	38
966	1087	37
967	1088	35
968	1089	34
969	1091	33
970	1092	32
971	1092	31
972	1093	30
973	1094	29
974	1095	28
975	1096	26
976	1097	25
977	1098	24
978	1099	23
979	1100	22
980	1101	21
981	1102	20
982	1103	19
983	1104	17
984	1105	16
985	1106	15
986	1107	14
987	1108	13
988	1109	12
989	1110	11
990	1111	10
991	1112	8
992	1113	7
993	1114	6
994	1115	5
995	1116	4
996	1117	3
997	1118	2
998	1119	1
999	1120	0
